file,line,verdict,why,before,after
CHAPTER-7-continuous-cognitive-loop-and-foresight-v0.1.md,279,DELETE,reads plainer and stricter without it,Each material entry: loop identifier; signal; source; date; classification; status; constitutional rele,Each entry: loop identifier; signal; source; date; classification; status; constitutional rele
CHAPTER-8-risk-safety-resilience-and-recovery-v0.1.md,46,BREAKS,qualifies a universal property — without a number the rule fires on everything and gates nothing,"Every material risk must have an accountable owner, responsible for: understanding the risk; validating","Every risk must have an accountable owner, responsible for: understanding the risk; validating"
CHAPTER-8-risk-safety-resilience-and-recovery-v0.1.md,188,DELETE,reads plainer and stricter without it,"**A near miss** is an event that could reasonably have caused material harm but did not, due to **chance, timely intervention, or a control functioning correctl","**A near miss** is an event that could reasonably have caused harm but did not, due to **chance, timely intervention, or a control functioning correctl"
CHAPTER-8-risk-safety-resilience-and-recovery-v0.1.md,228,DELETE,reads plainer and stricter without it,**Must not:** minimise material harm; **exaggerate certainty**; speculate irresponsibly; conceal responsibility; blame in,**Must not:** minimise harm; **exaggerate certainty**; speculate irresponsibly; conceal responsibility; blame in
CHAPTER-9-stakeholder-accessibility-trust-and-ethical-value-v0.1.md,100,DELETE,reads plainer and stricter without it,e:** refusal carries concealed punishment; alternatives are unrealistically inaccessible; material information is hidden; **urgency is artificially created**; consent is ,e:** refusal carries concealed punishment; alternatives are unrealistically inaccessible; information is hidden; **urgency is artificially created**; consent is bundled a
CHAPTER-9-stakeholder-accessibility-trust-and-ethical-value-v0.1.md,182,DELETE,reads plainer and stricter without it,**A recommendation must not be represented as independent where Nexus has a material undisclosed interest in the outcome.**,**A recommendation must not be represented as independent where Nexus has an undisclosed interest in the outcome.**
CHAPTER-9-stakeholder-accessibility-trust-and-ethical-value-v0.1.md,188,BREAKS,qualifies a universal property — without a number the rule fires on everything and gates nothing,Distinguish fact from opinion; disclose material uncertainty; avoid unsupported claims; **avoid misleading omission**; correct significant,Distinguish fact from opinion; disclose uncertainty; avoid unsupported claims; **avoid misleading omission**; correct significant
CHAPTER-9-stakeholder-accessibility-trust-and-ethical-value-v0.1.md,340,DELETE,reads plainer and stricter without it,capability transfer; dependency created or reduced; fairness of pricing; understanding of material terms; complaint themes; **exit difficulty**; stakeholder trust; **outc,capability transfer; dependency created or reduced; fairness of pricing; understanding of terms; complaint themes; **exit difficulty**; stakeholder trust; **outcomes for 
CHAPTER-9-stakeholder-accessibility-trust-and-ethical-value-v0.1.md,358,DELETE,reads plainer and stricter without it,**Continuous** — capture feedback; monitor material complaints; identify accessibility barriers; detect misleading communication; monitor tru,**Continuous** — capture feedback; monitor complaints; identify accessibility barriers; detect misleading communication; monitor tru
CHAPTER-9-stakeholder-accessibility-trust-and-ethical-value-v0.1.md,366,DELETE,reads plainer and stricter without it,avoid manipulation; identify vulnerability where relevant without stereotyping; escalate material harm or unfairness; preserve complaint pathways; record material commitm,avoid manipulation; identify vulnerability where relevant without stereotyping; escalate harm or unfairness; preserve complaint pathways; record commitments; **avoid cre
CHAPTER-9-stakeholder-accessibility-trust-and-ethical-value-v0.1.md,425,DELETE,reads plainer and stricter without it,aptivity**; trust is supported by evidence and conduct; AI involvement is disclosed where material; complaints influence correction and organisational learning; remedies ,aptivity**; trust is supported by evidence and conduct; AI involvement is disclosed where; complaints influence correction and organisational learning; remedies are pract
CHAPTER-9-stakeholder-accessibility-trust-and-ethical-value-v0.1.md,445,DELETE,reads plainer and stricter without it,"**§9.34** requires disclosure of material AI involvement, identifying **that AI was involved · the nature of involvement · whether","**§9.34** requires disclosure of AI involvement, identifying **that AI was involved · the nature of involvement · whether"
CHAPTER-9-stakeholder-accessibility-trust-and-ethical-value-v0.1.md,477,BREAKS,used as the predicate ('is material') — deleting it removes the verb and leaves no sentence,"- **§9.16 vulnerability is material and not hypothetical:** a person whose property has just been damaged is, by §9.6, under","- **§9.16 vulnerability and not hypothetical:** a person whose property has just been damaged is, by §9.6, under"
EPIC-000-nexus-engineering-constitution.md,81,DELETE,reads plainer and stricter without it,## 3. Definition of Engineering-Grade Material,## 3. Definition of Engineering-Grade Material
EPIC-000-nexus-engineering-constitution.md,89,DELETE,reads plainer and stricter without it,terion. Nexus will instead identify the observable engineering deficiencies that make the material unsuitable.,terion. Nexus will instead identify the observable engineering deficiencies that make the unsuitable.
EPIC-000-nexus-engineering-constitution.md,129,DELETE,reads plainer and stricter without it,Every material external or internal capability will move through the following governed states.,Every external or internal capability will move through the following governed states.
